,date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,open_delay,close_delay,high_delay,low_delay,pctChg_delay,date_delay
54,2015-03-27,sh.600519,198.0,198.56,192.95,194.55,198.56,4014459,784086656.0,0.351529,-2.0195,15.052785,4.558334,7.111563,388.735897,204.0,206.0,209.28,203.96,1.0299,2015-04-14
55,2015-03-30,sh.600519,194.68,198.95,193.1,196.77,194.55,6345139,1237889232.0,0.555617,1.1411,15.224551,4.610349,7.192713,393.171743,209.1,205.7,209.78,204.16,-0.1456,2015-04-15
56,2015-03-31,sh.600519,196.68,200.77,194.02,195.96,196.77,8813097,1746870224.0,0.771726,-0.4116,15.16188,4.591371,7.163104,391.553259,208.55,226.27,226.27,207.83,10.0,2015-04-16
57,2015-04-01,sh.600519,196.03,197.56,194.48,195.34,195.96,7687523,1504959696.0,0.673164,-0.3164,15.113909,4.576844,7.140441,390.314419,238.9,232.56,248.7,228.28,2.7799,2015-04-17
58,2015-04-02,sh.600519,195.96,197.6,192.88,194.58,195.34,6298161,1228604480.0,0.551504,-0.3891,15.055106,4.559037,7.11266,388.795841,230.0,234.03,245.7,229.0,0.6321,2015-04-20
59,2015-04-03,sh.600519,194.0,197.01,192.78,196.81,194.58,5121088,996536048.0,0.448432,1.1461,15.227646,4.611286,7.194175,393.251668,240.0,257.43,257.43,240.0,9.9987,2015-04-21
60,2015-04-07,sh.600519,196.85,201.08,195.8,200.67,196.81,5982433,1189027072.0,0.523857,1.9613,15.526304,4.701727,7.335273,400.964444,268.8,263.89,269.0,257.11,2.5094,2015-04-22
61,2015-04-08,sh.600519,202.5,210.68,201.59,204.5,200.67,13585716,2798381808.0,1.189644,1.9086,15.82264,4.791464,7.475275,408.617276,264.0,256.04,264.17,252.98,-2.9747,2015-04-23
62,2015-04-09,sh.600519,204.48,205.88,199.05,200.0,204.5,6239973,1255308048.0,0.546408,-2.2005,15.474464,4.686028,7.310782,399.625698,251.88,258.49,259.68,245.01,0.9569,2015-04-24
63,2015-04-10,sh.600519,199.99,202.99,199.61,200.22,200.0,10201946,2048914304.0,0.893342,0.11,15.491486,4.691183,7.318824,400.065286,257.58,255.79,267.8,252.99,-1.0445,2015-04-27
64,2015-04-13,sh.600519,201.55,204.49,198.94,203.9,200.22,9135609,1840018384.0,0.799967,1.838,15.776216,4.777406,7.453342,407.418399,254.0,247.89,258.6,247.05,-3.0885,2015-04-28
65,2015-04-14,sh.600519,204.0,209.28,203.96,206.0,203.9,8190313,1691094336.0,0.717192,1.0299,15.938698,4.826609,7.530106,411.614469,246.1,249.78,253.0,246.1,0.7624,2015-04-29
66,2015-04-15,sh.600519,209.1,209.78,204.16,205.7,206.0,5500520,1135635920.0,0.481658,-0.1456,15.915486,4.81958,7.519139,411.01503,251.15,252.23,254.9,247.75,0.9809,2015-04-30
67,2015-04-16,sh.600519,208.55,226.27,207.83,226.27,205.7,8601417,1877332304.0,0.75319,10.0,17.507035,5.301538,8.271053,452.116533,252.66,254.97,259.0,250.02,1.0863,2015-05-04
68,2015-04-17,sh.600519,238.9,248.7,228.28,232.56,226.27,19209491,4577504000.0,1.682095,2.7799,17.993707,5.448914,8.500977,464.684761,252.0,240.95,252.0,239.88,-5.4987,2015-05-05
69,2015-04-20,sh.600519,230.0,245.7,229.0,234.03,232.56,13058871,3118764544.0,1.143511,0.6321,18.107444,5.483356,8.554712,467.62201,243.98,242.68,246.99,240.01,0.718,2015-05-06
70,2015-04-21,sh.600519,240.0,257.43,240.0,257.43,234.03,12240188,3039243968.0,1.071822,9.9987,18.356458,5.087507,8.803028,48.014382,245.0,244.93,251.88,242.56,0.9271,2015-05-07
71,2015-04-22,sh.600519,268.8,269.0,257.11,263.89,257.43,13463506,3543576704.0,1.178943,2.5094,18.817099,5.215174,9.023933,49.219264,246.12,254.17,254.88,245.9,3.7725,2015-05-08
72,2015-04-23,sh.600519,264.0,264.17,252.98,256.04,263.89,8603012,2214737648.0,0.75333,-2.9747,18.257342,5.060037,8.755496,47.755127,251.5,257.44,257.99,250.0,1.2865,2015-05-11
73,2015-04-24,sh.600519,251.88,259.68,245.01,258.49,256.04,10053123,2547399872.0,0.88031,0.9569,18.432043,5.108455,8.839276,48.212087,257.2,254.42,257.2,252.0,-1.1731,2015-05-12
